,Best_Parameters,Model,Test_score,Train_score
0,{'n_neighbors': 1},KNN,0.9000021123041717,0.9642225094024022
1,"{'C': 100, 'penalty': 'l1'}",Logistic Regression,0.9271255060728745,0.9948734230378169
2,"{'C': 500, 'degree': 1}",SVC-polynomial,0.921060985797828,0.9902413783797114
3,"{'C': 250, 'gamma': 0.01}",SVC rbf,0.9503759398496241,0.9773876517541875
4,{'C': 250},SVC linear,0.921060985797828,0.9925073369385727
5,{'C': 100},Linear SVC,0.9418546365914787,0.9971122446225675
6,[],Decision Tree,1.0,1.0
